comid,Dam_Name,Other_Dam_Name,NID_ID,Num_Separate_Struct,Other_Structure_ID,Longitude,Latitude,County,River,Owner_Type,Private_Dam,Dam_Designer,Dam_Type,Core,Foundation,Primary_Purpose,All_Purposes,Year_Completed,Year_Modified,Dam_Length,Dam_Height,Structural_Height,Hydraulic_Height,NID_Height,Max_Discharge,Max_Storage,Normal_Storage,NID_Storage,Surface_Area,Drainage_Area,EAP,Inspection_Date,Inspection_Frequency,Spillway_Type,Spillway_Width,Outlet_Gates,Volume,Num_Locks,Length_Locks,Width_Locks,Permitting_Authority,Inspection_Authority,Enforcement_Authority,Jurisdictional_Dam,State_Reg_Dam,State_Reg_Agency,Fed_Funding,Fed_Design,Fed_Construction,Fed_Regulatory,Fed_Inspection,Fed_Operation,Fed_Owner,Fed_Other,Source_Agency,State,Submit_Date,Url_Address,Congress_Rep,Political_Party,Congress_District,huc_no
1337392,MONUMENT,MINNESOTA,CO00598,0,NA,-107.4722,38.8816,GUNNISON,MINNESOTA CREEK-TR,Private,Y,NA,Earth,HEZ,SK,Irrigation,Irrigation,1889,NA,422,72,76,76,76,518,632,430,632,19,5.13,Y,6/7/11,2,N,13,U;V,96554,NA,0,NA,Y,Y,Y,Y,Y,DWR,NA,NA,NA,NA,NA,NA,NA,NA,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03,14020004
944080041,BAUER LAKE #2 - MAIN DAM,LOWER BAUER,CO01077,0,NA,-108.303,37.38,MONTEZUMA,CHICKEN CREEK-TR,Private,N,NA,Earth,NA,NA,Irrigation,"Irrigation, Fish and Wildlife Pond",1905,NA,1020,40,40,40,40,1048,2284,1532,2284,67,0.35,Y,6/19/12,2,U,51,S4;S1,NA,NA,0,NA,Y,Y,Y,Y,Y,DWR,NA,NA,NA,NA,NA,NA,NA,NA,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03,14080107
18377706,TROUT LAKE,NA,CO00184,1,NA,-107.8872,37.8286,SAN MIGUEL,SOUTH FORK SAN MIGUEL RIVER-TR,Public Utility,N,"C.T. MAIN, INC.",Earth,NA,NA,Hydroelectric,"Hydroelectric, Recreation",1910,NA,570,43,43,22,43,8060,3200,2500,3200,138,13,Y,8/7/12,1,U,0,NA,NA,NA,0,NA,Y,Y,Y,Y,Y,DWR,NA,NA,NA,FERC,FERC,NA,NA,NA,FERC,CO,02\28\2013,NA,Scott R. Tipton (R),R,CO03,14030003
3262333,NARRAGUINNEP - MAIN DAM,NA,CO01089,0,NA,-108.6262,37.4832,MONTEZUMA,NARRAGUINNEP CANYON,Private,Y,USDA NRCS,Earth,NA,NA,Irrigation,"Irrigation, Recreation, Fish and Wildlife Pond",1908,NA,3887,100,114,97,114,6100,22700,18960,22700,581,9.57,Y,6/20/12,1,U,150,S2;S1,NA,NA,0,NA,Y,Y,Y,Y,Y,DWR,NA,USDA NRCS,NA,NA,NA,NA,NA,NA,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03,14080202
10040070,CROUSE,NA,UT00055,0,NA,-109.1799,40.7183,UINTAH,POT CREEK,State,N,NA,Earth,NA,NA,NA,NA,1909,NA,1005,NA,29.5,21,29.5,NA,1516,1086,1516,NA,30,Y,6/7/11,0,NA,0,NA,NA,NA,0,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,UT,UT,02\06\2013,NA,Rob Bishop (R),R,UT01,14040106
18301776,EDEN DIKE 1,EDEN DIKE 1,WY01388,2,NA,-109.3828,42.2313,SWEETWATER,LITTLE SANDY CREEK OS,Federal,N,NA,Earth,HEK,SZ,Irrigation,Irrigation,1906,1972,2100,28.3,25,20,28.3,NA,13164,13164,13164,1166,6,Y,7/28/09,1,N,0,S1,92000,NA,0,NA,Y,Y,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,WY,WY,02\06\2013,NA,Cynthia M. Lummis (R),R,WY00,14040104
1326127,LAKE ANN,DINKLE LAKE,CO00683,0,NA,-107.1172,39.3033,PITKIN,WEST SOPRIS CREEK-OS,Private,Y,BOND ENGINEERING,Earth,HEZ,RSZ,Irrigation,"Irrigation, Recreation",1912,1953SFMHO,580,40,42,40,42,1200,562,439,562,20,0.95,Y,9/5/12,1,U,40,S1,58000,NA,0,NA,Y,Y,Y,Y,Y,DWR,NA,NA,NA,NA,NA,NA,NA,NA,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03,14010004
1231319,MCMAHON #2,RED DIRT RESERVOIR,CO00703,0,NA,-106.5722,40.1783,GRAND,RED DIRT CREEK,Private,Y,UNKNOWN; B.T. CHASE; MCLAUGHLIN WATER ENGINEERS,Earth,HEZ,RSZ,Irrigation,Irrigation,1913,1945SHM; 1999HM,987,48,48,48,48,1817,4570,3460,4570,196,14,Y,9/30/11,2,U,25,S1,117563,NA,0,NA,Y,Y,Y,Y,Y,DWR,NA,NA,NA,NA,NA,NA,NA,NA,CO,CO,02\04\2013,NA,Jared Polis (D),D,CO02,14010001
1356312,SIMON #1,CROSHO,CO01029,0,NA,-107.0555,40.1716,RIO BLANCO,MIDDLE HUNT CREEK-OS,Private,Y,NA,Earth,NA,NA,Irrigation,Irrigation,1917,NA,1050,17,30,20,30,585,1696,996,1696,100,1,NR,9/25/08,6,U,12,NA,33791,NA,0,NA,Y,Y,Y,Y,Y,DWR,NA,NA,NA,NA,NA,NA,NA,NA,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03,14050001
16999046,RED MESA WARD,"MORMON, WARD",CO01075,0,NA,-108.1422,37.1666,LA PLATA,HAY GULCH,Private,N,NA,Earth,NA,NA,Irrigation,Irrigation,1915,NA,420,59,61,60,61,2126,1454,1100,1454,59,30,Y,8/4/11,1,U,35,S1,NA,NA,0,NA,Y,Y,Y,Y,Y,DWR,NA,NA,NA,NA,NA,NA,NA,NA,CO,CO,02\04\2013,NA,Scott R. Tipton (R),R,CO03,14080105
